code,line_item,period_end,value,asOf
2215.18.1,Principal of repo contracts,2026-06-30,0,2026-08-03
2215.18.2,Accrued Interest Expense,2026-06-30,0,2026-08-03
2215.18.3,Principal of Short-term loans,2026-06-30,0,2026-08-03
2216,TOTAL LIABILITIES,2026-06-30,331314081815,2026-08-03
2217,Net Asset Value ( = I.10 - II.4),2026-06-30,6070743291657,2026-08-03
2218,Total Outstanding Fund Certificates,2026-06-30,60304682.99,2026-08-03
2219,Net Asset Value per Fund Certificate,2026-06-30,100667.85,2026-08-03
2220,Receivables from rental of investment property (not applicable),2026-06-30,0,2026-08-03
2221,Real Estate Proceeds Receivables (not applicale),2026-06-30,0,2026-08-03
2222,Real Estate Trading Payables (not applicable),2026-06-30,0,2026-08-03
2200,ASSETS,2026-07-31,,2026-08-03
2201,Cash and Cash Equivalents,2026-07-31,1191539828610,2026-08-03
2202,Cash,2026-07-31,,2026-08-03
2203,Cash at bank,2026-07-31,1191539828610,2026-08-03
2203.1,Cash at bank for Fund's subscription,2026-07-31,10776983367,2026-08-03
2203.2,Cash at bank for Fund's dividend payment and redemption,2026-07-31,628817018,2026-08-03
2203.3,Cash at bank for Fund's operation,2026-07-31,992134028225,2026-08-03
2203.4,Margin account for trading derivatives,2026-07-31,0,2026-08-03
2203.5,"Cash, cash equivalents",2026-07-31,188000000000,2026-08-03
2205,Investments,2026-07-31,4432961450795,2026-08-03
2205.1,"Listed Shares, fund certificates",2026-07-31,4279579050800,2026-08-03
2205.2,"Unlisted Shares, fund certifictes",2026-07-31,0,2026-08-03
2205.3,Bonds,2026-07-31,53382400000,2026-08-03
2205.4,Money market instruments,2026-07-31,99999999995,2026-08-03
2205.5,Deposits with term over three (03) months,2026-07-31,0,2026-08-03
2205.6,Investment - Rights,2026-07-31,0,2026-08-03
2205.7,Index future contracts,2026-07-31,0,2026-08-03
2205.8,Other investments,2026-07-31,0,2026-08-03
2205.9,Reverse repo contracts,2026-07-31,0,2026-08-03
2206,"Dividend, Coupon receivables",2026-07-31,13294063908,2026-08-03
2206.1,Dividend receivables,2026-07-31,12752927250,2026-08-03
2206.2,Coupon receivables,2026-07-31,541136658,2026-08-03
2207,Interest receivables,2026-07-31,546000001,2026-08-03
2207.1,Interest receivable from bank deposits,2026-07-31,151479453,2026-08-03
2207.2,Interest receivable from Money market instruments,2026-07-31,394520548,2026-08-03
2207.3,Interest receivable from reverse repo contracts,2026-07-31,0,2026-08-03
2208,Securities Trading Receivables,2026-07-31,334210198000,2026-08-03
2210,Other Receivables,2026-07-31,-866400000,2026-08-03
2210.1,Impairment of devaluation of pledged assets,2026-07-31,0,2026-08-03
2210.2,Provision for doubtful debt,2026-07-31,-866400000,2026-08-03
2210.3,Other Receivables,2026-07-31,0,2026-08-03
2211,Other Assets,2026-07-31,0,2026-08-03
2212,TOTAL ASSETS,2026-07-31,5971685141314,2026-08-03
2213,LIABILITIES,2026-07-31,,2026-08-03
2214,Securities Trading Payables,2026-07-31,221962080000,2026-08-03
2215,Other Payables,2026-07-31,26378153630,2026-08-03
2215.1,Payables to investors,2026-07-31,13774852498,2026-08-03
2215.1.1,Subscription Pending allotment,2026-07-31,10776983367,2026-08-03
2215.1.2,Payables to investors for investment bought on behalf,2026-07-31,0,2026-08-03
2215.1.3,Payables to investors for collected dividend,2026-07-31,0,2026-08-03
2215.1.4,Redemption payable to investors,2026-07-31,2997869131,2026-08-03
2215.2,Tax payables and obligations to the State Budget,2026-07-31,90560930,2026-08-03
2215.3,Subscription and Redemption fee payable to distributors and Fund Management Company,2026-07-31,1227700817,2026-08-03
2215.4,Income payable to investors,2026-07-31,39925000,2026-08-03
2215.5,Remuneration Payable to Fund's Board of Representatives,2026-07-31,18969863,2026-08-03
2215.6,Management fee payable,2026-07-31,9658563413,2026-08-03
