kind,ex_date,record_date,pay_date,last_date,settlement_date,amount_per_share,tax_rate,shares_per_share,rights_per_share,subscription_price,choice,funding,source
stock_dividend,2014-05-07,2014-05-09,2014-06-27,,,,,0.25,,,,,VCI event 6708f3ef0ec61045ab7fedbb
cash_dividend,2014-08-20,2014-08-22,2014-09-10,,,1000,0.05,,,,,,VCI event 6708f3df0ec61045ab7fb2a1
cash_dividend,2015-05-28,2015-06-01,2015-06-12,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb4ec
stock_dividend,2015-05-28,2015-06-01,2015-07-21,,,,,0.15,,,,,VCI event 6708f3f00ec61045ab7fefd1
cash_dividend,2015-08-19,2015-08-21,2015-09-09,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb5c1
cash_dividend,2016-05-27,2016-05-30,2016-06-10,,,1000,0.05,,,,,,VCI event 6708f3e10ec61045ab7fb949
stock_dividend,2016-05-27,2016-05-30,2016-07-14,,,,,0.15,,,,,VCI event 6708f3f10ec61045ab7ff294
cash_dividend,2016-08-22,2016-08-23,2016-09-07,,,1000,0.05,,,,,,VCI event 6708f3e10ec61045ab7fba5c
cash_dividend,2017-05-25,2017-05-26,2017-06-09,,,1000,0.05,,,,,,VCI event 6708f3e20ec61045ab7fbdc3
stock_dividend,2017-05-25,2017-05-26,2017-07-10,,,,,0.15,,,,,VCI event 6708f3f20ec61045ab7ff631
cash_dividend,2017-08-17,2017-08-18,2017-08-31,,,1000,0.05,,,,,,VCI event 6708f3e30ec61045ab7fbfb2
cash_dividend,2018-05-25,2018-05-28,2018-06-08,,,1500,0.05,,,,,,VCI event 6708f3e40ec61045ab7fc361
stock_dividend,2018-05-25,2018-05-28,2018-07-24,,,,,0.15,,,,,VCI event 6708f3f30ec61045ab7ffa26
cash_dividend,2018-08-16,2018-08-17,2018-08-31,,,1000,0.05,,,,,,VCI event 6708f3e40ec61045ab7fc50e
cash_dividend,2019-05-17,2019-05-20,2019-06-07,,,1000,0.05,,,,,,VCI event 6708f3e50ec61045ab7fc851
stock_dividend,2019-05-17,2019-05-20,2019-06-28,,,,,0.1,,,,,VCI event 6708f3f40ec61045ab7ffcde
cash_dividend,2019-08-15,2019-08-16,2019-08-30,,,1000,0.05,,,,,,VCI event 6708f3e50ec61045ab7fca07
cash_dividend,2020-05-13,2020-05-14,2020-06-05,,,1000,0.05,,,,,,VCI event 6708f3e60ec61045ab7fcc84
stock_dividend,2020-05-13,2020-05-14,2020-06-30,,,,,0.15,,,,,VCI event 6708f3f50ec61045ab7fff32
cash_dividend,2020-08-17,2020-08-18,2020-09-01,,,1000,0.05,,,,,,VCI event 6708f3e70ec61045ab7fce6e
cash_dividend,2021-06-01,2021-06-02,2021-06-16,,,1000,0.05,,,,,,VCI event 6708f3e80ec61045ab7fd1dd
stock_dividend,2021-06-01,2021-06-02,2021-07-21,,,,,0.15,,,,,VCI event 6708f3f50ec61045ab800214
cash_dividend,2021-08-16,2021-08-17,2021-09-01,,,1000,0.05,,,,,,VCI event 6708f3e80ec61045ab7fd305
cash_dividend,2022-06-13,2022-06-14,2022-06-27,,,1000,0.05,,,,,,VCI event 6708f3e90ec61045ab7fd5e9
stock_dividend,2022-06-13,2022-06-14,2022-07-19,,,,,0.2,,,,,VCI event 6708f3f70ec61045ab80059c
cash_dividend,2022-08-24,2022-08-25,2022-09-12,,,1000,0.05,,,,,,VCI event 6708f3e90ec61045ab7fd721
cash_dividend,2023-07-05,2023-07-06,2023-07-13,,,1000,0.05,,,,,,VCI event 6708f3ea0ec61045ab7fdac3
stock_dividend,2023-07-05,2023-07-06,2023-08-16,,,,,0.15,,,,,VCI event 6708f3f70ec61045ab80089b
cash_dividend,2023-08-24,2023-08-25,2023-09-12,,,1000,0.05,,,,,,VCI event 6708f3ea0ec61045ab7fdb32
cash_dividend,2024-06-12,2024-06-13,2024-06-20,,,1000,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fde7c
stock_dividend,2024-06-12,2024-06-13,2024-08-01,,,,,0.15,,,,,VCI event 6708f3f80ec61045ab800aaf
cash_dividend,2024-12-02,2024-12-03,2024-12-13,,,1000,0.05,,,,,,VCI event 67411b73628a762af10d7c07
cash_dividend,2025-06-12,2025-06-13,2025-06-20,,,1000,0.05,,,,,,VCI event 683a4cb2c8766c48b080175b
stock_dividend,2025-07-21,2025-07-22,2025-09-12,,,,,0.15,,,,,VCI event 6802ed4ed2606e49d1ead8b1
cash_dividend,2025-12-01,2025-12-02,2025-12-12,,,1000,0.05,,,,,,VCI event 6917c918d4eafd4c078ed8d6
cash_dividend,2026-05-28,2026-05-29,2026-06-10,,,1000,0.05,,,,,,VCI event 6a0fa234a6ca51ba73a2a0a0
